lesson_unit_id,stage,stage_name,lesson_unit_name,approx_start,approx_end,weeks,overlap_type,division_context,objective_8175,objective_8177,competency_ids_8175,competency_ids_8177,key_vocabulary,prior_lesson_connection,warmup_anchor,chain_node,esports_connection,vocabulary_with_definitions,studio_flow_hooks
S4-U1,4,Stage 4,Pricing Strategies & Revenue,2027-01-25,2027-02-05,21–22,Complementary,School Store + Apparel & Merch Co. + Wholesale Manager — first price tags set,"Students can explain pricing factors and identify pricing strategies used in the sports, entertainment, and event industries.","Students can identify budget components, identify revenue sources and expenditures, and analyze financial statements.","8175-66,8175-67","8177-85,8177-86,8177-87,8177-88","Dynamic pricing, Break-even point, Contribution margin, Revenue stream, Price elasticity",Stage 2 branding established value; now students attach a price to that value.,"A local sports team is deciding between a fixed-price ticket model and a dynamic pricing model for the upcoming season. Dynamic pricing means ticket prices fluctuate based on demand. The GM argues dynamic pricing will maximize revenue; the fan advocate says it will hurt loyal fans. Who do you think is right, and what factors should guide this decision?",Producer / Distributor — how value is monetized,"Tournament entry fees, streaming revenue, sponsorship tiers, prize pools.","[{""term"": ""Dynamic pricing"", ""definition"": ""A pricing strategy where prices change based on real-time demand.""}, {""term"": ""Break-even point"", ""definition"": ""The sales volume at which total revenue equals total costs.""}, {""term"": ""Contribution margin"", ""definition"": ""Revenue minus variable costs.""}, {""term"": ""Revenue stream"", ""definition"": ""A specific source of income for a business.""}, {""term"": ""Price elasticity"", ""definition"": ""How sensitive demand is to price changes.""}]",{}
S5-U1,5,Stage 5,"Ethics, Media & Social Responsibility",2027-02-08,2027-02-19,23–24,Parallel,Media & PR (primary) — social media policy before channels go live,Students can identify ethical/unethical business practices and analyze the effects of negative media on a sports/entertainment/event organization.,"Students can identify ethical issues, investigate social/environmental concerns, examine media bias effects on public perception, and describe community value of the industry.","8175-51,8175-52,8175-53,8175-54,8175-55,8175-56,8175-57,8175-58,8175-59,8175-60,8175-61,8175-62,8175-63,8175-64,8175-65,8175-66,8175-67,8175-68,8175-69,8175-70,8175-71,8175-72,8175-73,8175-74,8175-75,8175-76,8175-77,8175-78,8175-79,8175-80,8175-81,8175-82,8175-83,8175-84,8175-85,8175-86","8177-63,8177-64,8177-65,8177-66","What students do, Business ethics, Reputational risk, Media bias, Social responsibility, Escalation path, Code of conduct, Transparency",Stage 7 (Promotion) — the promotional content guidelines produced here constrain what Media & PR can create. Stage 8 (Synthesis) — the marketing plan includes a social responsibility section that references this unit's ethical framework.,"A student in the Media & PR division posts something on the conglomerate's social media account that generates immediate backlash from the school community. It wasn't illegal. It wasn't meant to offend. But it did. Walk through what happens next — who decides what the response is, what the response says, and what changes afterward?",Rules of the chain — what governs decisions before goods and services move,"Esports creates specific ethical exposure: trash talk and unsportsmanlike conduct online, accusations of cheating in matches, team selection disputes, and streaming content that reflects on the school. The League Manager and Media & PR division draft an Esports Code of Conduct using the ethical framework from this unit.","[{""term"": ""What students do"", ""definition"": ""Students draft the conglomerate's Social Media & Communications Policy \u2014 a one-page document that establishes what can be posted, who approves it, how negative feedback is handled, and what the escalation path is for a reputational incident. This becomes a standing operating document for the Media & PR division.""}, {""term"": ""Business ethics"", ""definition"": ""The application of ethical principles to business decisions \u2014 honesty, fairness, accountability, and respect for all stakeholders""}, {""term"": ""Reputational risk"", ""definition"": ""The potential for an organization's reputation to be damaged by its actions, communications, or associations \u2014 in sports and entertainment, reputational damage spreads rapidly""}, {""term"": ""Media bias"", ""definition"": ""The tendency of news coverage to reflect the perspective, values, or interests of its producers \u2014 affecting which stories are told and how""}, {""term"": ""Social responsibility"", ""definition"": ""An organization's obligation to consider the wellbeing of the community and environment in its decisions \u2014 not just its own financial interests""}, {""term"": ""Escalation path"", ""definition"": ""A defined process for raising an issue to higher authority when a front-line decision-maker cannot or should not resolve it alone""}, {""term"": ""Code of conduct"", ""definition"": ""A formal document establishing expected behaviors, prohibited actions, and consequences within an organization or activity""}, {""term"": ""Transparency"", ""definition"": ""Operating openly \u2014 sharing information about decisions, mistakes, and processes with those affected. The default response to reputational incidents.""}]",{}
S5-U2,5,Stage 5,Customer Service Skills,2027-02-19,2027-03-05,25–26,Parallel,School Store + Events Division — store opens during this unit,"Students can explain customer service importance, compare types of customer interaction, translate technical language for customers, and describe complaint handling procedures.","Students can demonstrate customer service techniques, describe retention methods, respond to inquiries/feedback, explain company policy, and explain the value of constructive feedback.","8175-52,8175-53,8175-54,8175-55","8177-58,8177-59,8177-60,8177-61,8177-62","What students do, Customer touchpoint, Complaint resolution, Customer retention, Internal customer, Constructive feedback, Service standard, Escalation",Stage 6 (Place/Distribution) — the physical store and event venue experiences are distribution nodes. Customer service is what makes those nodes work. Stage 7 (Promotion) — positive customer experiences are the most credible promotional content. Stage 8 (Synthesis) — the marketing plan includes a customer relationship management section that references these standards.,"You're working the school store when a student comes in angry about a jersey order that came back with the wrong name on it. They're loud. Other students are watching. You didn't make the error — the Production Manager did. What do you say, what do you do, and what happens after they leave?",Rules of the chain — how the product is experienced by the consumer at every touchpoint,"The esports league has its own customer service layer: players registering for the league, spectators at events, and parents with questions. League Manager drafts a League Participant FAQ and complaint process. Media & PR establishes the social media response standard for match-day coverage — how to handle criticism of results, accusations of unfair play, and requests for replay footage.","[{""term"": ""What students do"", ""definition"": ""Students draft the Conglomerate Customer Service Standards \u2014 a two-page document covering in-person store interactions, custom order consultations, social media response standards, event-day customer management, and the complaint resolution process. Each division reviews the standards for role-specific applicability.""}, {""term"": ""Customer touchpoint"", ""definition"": ""Any moment of contact between a customer and the organization \u2014 in-store, online, at an event, or through a custom order consultation""}, {""term"": ""Complaint resolution"", ""definition"": ""The process of acknowledging a customer issue, taking ownership, offering a remedy, and following through \u2014 regardless of who caused the problem""}, {""term"": ""Customer retention"", ""definition"": ""The practices that keep existing customers returning \u2014 consistency, follow-through, responsiveness, and occasional positive surprise""}, {""term"": ""Internal customer"", ""definition"": ""A colleague or division that depends on your work to do their own \u2014 the Production Manager is the Creative Studio's internal customer for design files""}, {""term"": ""Constructive feedback"", ""definition"": ""Feedback that identifies specific behaviors, explains their impact, and suggests improvement \u2014 professional in tone and actionable in content""}, {""term"": ""Service standard"", ""definition"": ""A defined expectation for how customers are treated at every touchpoint \u2014 the baseline below which performance is unacceptable""}, {""term"": ""Escalation"", ""definition"": ""Referring a complaint or situation to a higher authority when it exceeds the front-line staff member's authority or ability to resolve""}]",{}
S6-U1,6,Stage 6,Digital Media & E-Commerce,2027-03-05,2027-03-19,27–28,Complementary,Media & PR + School Store + Esports Division — digital infrastructure build,"Students can define current electronic marketing tools, identify methods for attracting/retaining customers digitally, identify target markets' preferred platforms, compare traditional and digital marketing, and explain digital revenue generation.","Students can identify how e-commerce and digital transactions affect sports, entertainment, and event businesses.","8175-78,8175-79,8175-80,8175-81,8175-82",8177-47,"What students do, Content calendar, Conversion, Engagement, E-commerce, Streaming",Stage 7 (Promotion) — digital channels are the primary delivery mechanism for promotional content. Everything built here is infrastructure that Stage 7 fills with campaign content. Stage 8 (Synthesis) — the marketing plan's distribution strategy section is drawn directly from the platform strategy produced in this unit.,The school store has no online presence yet. A student who wants to order a custom jersey has to find you in person during the school day. A parent who wants to order a staff shirt has no idea the program exists. Map every friction point in that customer journey — and then describe what a basic digital presence would eliminate.,Place / Distribution — digital channels are how the conglomerate reaches its audience beyond the classroom,"The esports division has the most complex digital presence: match streaming on Twitch or YouTube Live, league standings and bracket updates on a public-facing platform, team social accounts, and a Discord server for the school community league. Students in the Esports and Media & PR divisions collaboratively build the streaming and community management infrastructure, with clear role ownership for each channel.","[{""term"": ""What students do"", ""definition"": ""Students audit the conglomerate's current digital footprint, build a platform strategy using market research data, establish a content calendar for the next four weeks, and connect the school store's POS to a simple digital order intake process. The large format printer produces a digital channel map \u2014 which platform serves which audience segment \u2014 for classroom display.""}, {""term"": ""Content calendar"", ""definition"": ""A planned schedule of digital content across platforms \u2014 what is posted, when, on which channel, and by whom""}, {""term"": ""Conversion"", ""definition"": ""The moment a potential customer takes a desired action \u2014 making a purchase, submitting an order form, or buying an event ticket""}, {""term"": ""Engagement"", ""definition"": ""Measurable audience interaction with digital content \u2014 likes, comments, shares, saves, and click-throughs \u2014 indicating relevance and reach""}, {""term"": ""E-commerce"", ""definition"": ""Commercial transactions conducted electronically \u2014 online merchandise sales, digital ticket purchases, and custom order intake are all e-commerce functions""}, {""term"": ""Streaming"", ""definition"": ""Live or recorded video broadcast over the internet \u2014 the primary distribution channel for esports match coverage and the conglomerate's live content""}]",{}
S6-U2,6,Stage 6,"Safety, Security & Risk Management",2027-03-19,2027-03-25,28–29,Complementary,Events Division + Esports Division — emergency plan submitted to admin before first match,"Students deepen Task 22 (workplace safety) in the context of event venues, equipment operation, and live event environments.","Students can examine risk assessment and management strategies, examine uncontrollable variable challenges, explain security types, explain venue/event security needs, and explain emergency preparedness plans.",8175-22,"8177-67,8177-68,8177-89,8177-90,8177-91","What students do, Risk register, Incident commander, Contingency plan, Life safety, Tabletop exercise, Risk matrix",Stage 7 (Promotion) — event promotion cannot begin until the Events Manager confirms the safety plan is in place. Stage 8 (Synthesis) — the event management section of the marketing plan references the preparedness framework. This unit also retroactively strengthens Stage 0's Task 22 competency rating for every student.,"You are running the first home esports match. Forty students are watching in the gym. One of the competitors has a medical emergency mid-match. Another student near the exit is acting aggressively toward a spectator. The streaming computer goes down. Rank these three by urgency and walk through your response to each — who does what, in what order, and who gets told?","Place / Distribution — the physical venue is a distribution node, and it must be safe to operate","The first home esports match is the test case for this entire unit. Students conduct a tabletop exercise — walking through three emergency scenarios in the event space before the event happens: a medical emergency, a crowd confrontation, and a technology failure. Each scenario has a documented response protocol. The League Manager assigns safety roles to non-competing students for every home match.","[{""term"": ""What students do"", ""definition"": ""Students produce three safety and security documents: the Production Area Safety Protocol (Apparel & Merch), the School Store Safety Checklist, and the Event Safety & Emergency Preparedness Plan. The third document is submitted to school administration before the first public event. Events Manager owns the preparedness plan; General Manager signs off; teacher reviews before submission.""}, {""term"": ""Risk register"", ""definition"": ""A documented list of identified risks, each rated by likelihood and severity, with assigned mitigation strategies and responsible owners""}, {""term"": ""Incident commander"", ""definition"": ""The designated person responsible for coordinating the response to an emergency \u2014 in the conglomerate, this is the Events Manager or General Manager depending on the situation""}, {""term"": ""Contingency plan"", ""definition"": ""A pre-built response protocol for a specific foreseeable problem \u2014 'if X happens, then Y does Z' \u2014 developed before the event so decisions don't have to be made under pressure""}, {""term"": ""Life safety"", ""definition"": ""Measures designed to prevent injury or death \u2014 fire exits, emergency lighting, medical response access, and evacuation routes are all life safety elements""}, {""term"": ""Tabletop exercise"", ""definition"": ""A discussion-based practice session where participants walk through an emergency scenario verbally \u2014 identifying gaps in the plan before a real incident exposes them""}, {""term"": ""Risk matrix"", ""definition"": ""A grid that plots identified risks by likelihood and severity \u2014 used to prioritize which risks require immediate attention and which can be monitored""}]",{}
S7-U1,7,Stage 7,"Promotion, Sponsorship & Endorsements",2027-04-05,2027-04-23,30–33,8175 only,Media & PR + Creative Studio + Events Division + Esports Division — live campaign for first match,"Students can explain the promotional mix, identify roles of advertising/publicity/sales promotion/direct marketing/personal selling, describe advertising elements, explain PR and PR tools, explain sponsorship and endorsements with legal restrictions, and describe promotional campaign elements.",No formal competency requirement — 8177 students participate as campaign commissioners and stakeholder representatives.,"8175-72,8175-73,8175-74,8175-75,8175-76,8175-77,8175-83,8175-84,8175-85,8175-87,8175-88,8175-89,8175-90,8175-91,8175-92,8175-93",,"What students do, Promotional mix, Campaign brief, Public relations (PR), Sponsorship, Endorsement, Sales promotion, Stakeholder, Promotional campaign","Stage 8 (Synthesis) — the promotional campaign produced here is a component of the marketing plan. The campaign brief, the asset library, and the results measurement are all inputs to the Stage 8 deliverable. Stage 9 (Career) — students who can document a real promotional campaign they designed and executed have a portfolio artifact for career development.","The first home esports match is three weeks away. You have six computers, a large format printer, a social media account with 47 followers, and zero budget for paid advertising. The goal is 80 student spectators in the seats. Build the promotional plan in the next five minutes — what do you do first, second, and third, and why in that order?",Promotion — how the conglomerate pulls its audience toward the product and the event,"The esports team is both the subject of the campaign and a promotional asset itself. Player profiles produced by Media & PR, match preview content, team announcement posts, and behind-the-scenes content from practice are all authentic promotional content that advertising cannot manufacture. The League Manager coordinates player availability for content production. The team's Discord server is activated as a community promotional channel.","[{""term"": ""What students do"", ""definition"": ""Students design and execute a three-week promotional campaign for the first home esports match. Week one: campaign strategy and asset production. Week two: content rollout and community outreach. Week three: urgency push, event-day promotion, and day-of activation. The large format printer runs continuously producing signage, posters, and bracket displays. Every piece of promotional content is approved against the Social Media Policy from Stage 5 before posting.""}, {""term"": ""Promotional mix"", ""definition"": ""The combination of advertising, publicity, sales promotion, direct marketing, and personal selling used to communicate with a target audience""}, {""term"": ""Campaign brief"", ""definition"": ""A document defining a promotional campaign's objective, audience, message, channels, timeline, and success metrics \u2014 the plan before execution begins""}, {""term"": ""Public relations (PR)"", ""definition"": ""Earned, non-paid communication that builds relationships between an organization and its publics \u2014 more credible than advertising because it isn't purchased""}, {""term"": ""Sponsorship"", ""definition"": ""A paid association between a business and an event, team, or entity \u2014 the sponsor gains visibility and audience association; the sponsored party gains resources""}, {""term"": ""Endorsement"", ""definition"": ""A public recommendation of a product or brand by a person \u2014 subject to legal disclosure requirements when compensation is involved""}, {""term"": ""Sales promotion"", ""definition"": ""Short-term incentives designed to create urgency and lower the barrier to purchase or attendance \u2014 giveaways, contests, and bundle offers are examples""}, {""term"": ""Stakeholder"", ""definition"": ""Anyone with an interest in or affected by an organization's decisions \u2014 sponsors, players, spectators, school administration, and parents are all stakeholders in the esports league""}, {""term"": ""Promotional campaign"", ""definition"": ""A coordinated set of promotional actions with a defined objective, target audience, message, channel mix, timeline, and measurement plan""}]",{}
S7-U2,7,Stage 7,Sales Process & On-Site Merchandising,2027-04-23,2027-04-30,33–34,Complementary,School Store + Sales & Customer Experience rotation — merchandise table at first match,"Students can explain types of selling, product/service bundling, the selling process steps, and on-site merchandising and concessions.","Students can explain on-site revenue streams as they relate to sports, entertainment, and event facilities.","8175-94,8175-95,8175-96,8175-97",8177-46,"What students do, Selling process, Upselling, On-site merchandising, Revenue stream, Average transaction value, Post-event reconciliation",Stage 8 (Synthesis) — event revenue data feeds the financial section of the marketing plan. The sales performance report is a direct input to the budget actuals vs. projected analysis. Stage 9 (Career) — students who can describe their role in executing a live sales operation have a concrete WBL experience for career documentation.,"You are running the merchandise table at the first home esports match. You have jerseys ($26), lanyards ($8), and a bundle offer (jersey + lanyard for $30). In the first ten minutes, twelve people walk past without stopping. What do you change — your setup, your approach, your offer, or all three — and how do you decide?","Promotion — the direct consumer-facing end of the chain, where product meets buyer","The esports match is the sales environment. The team's presence is the draw. Students in Sales & Customer Experience rotation use the team's appeal as a selling context — a jersey isn't just a shirt, it's the official kit of the school's competitive team. The League Manager briefs Sales students on the team's narrative before the event so they can speak to it authentically.","[{""term"": ""What students do"", ""definition"": ""Students plan and execute the full on-site sales operation for the first home esports match. Pre-event: merchandise table layout, inventory selection and quantity, signage production, bundle offer finalization, and sales role assignments. Event-day: table setup, active selling throughout the event, transaction tracking. Post-event: revenue reconciliation, unsold inventory return to store, and sales performance report.""}, {""term"": ""Selling process"", ""definition"": ""The seven-step sequence of a professional sales interaction: prospecting, pre-approach, approach, needs assessment, presentation, objection handling, and closing""}, {""term"": ""Upselling"", ""definition"": ""Encouraging a customer to purchase a higher-value item or add-on \u2014 suggesting the bundle when a customer picks up a single jersey""}, {""term"": ""On-site merchandising"", ""definition"": ""The strategic placement, display, and selling of products at a live event \u2014 location, visibility, signage, and accessibility all drive impulse purchase behavior""}, {""term"": ""Revenue stream"", ""definition"": ""A distinct source of income at an event \u2014 merchandise, tickets, sponsorship activation, and food service are separate revenue streams, each requiring separate tracking""}, {""term"": ""Average transaction value"", ""definition"": ""Total revenue divided by number of transactions \u2014 bundles and upselling increase this metric without requiring more customers""}, {""term"": ""Post-event reconciliation"", ""definition"": ""The accounting process of matching cash collected to inventory sold, identifying discrepancies, and updating the financial record \u2014 completed by Store Manager and General Manager after every event""}]",{}
S8-U1,8,Stage 8,Marketing Plan & Strategy,2027-05-03,2027-05-21,35–38,Parallel,All divisions — marketing plan assembles every prior stage deliverable,"Students can explain marketing plan components, describe research's importance in plan development, describe how to analyze ROI, and identify SWOT analysis components.",Students can develop a marketing plan for an event — applying the full planning framework to a real upcoming event.,"8175-102,8175-103,8175-104,8175-105",8177-97,"STRENGTHS
Internal positives — what does the conglomerate do well?, OPPORTUNITIES
External positives — what trends or conditions favor growth?, What students do, Marketing plan, Situation analysis, SWOT analysis, Return on investment (ROI), Marketing objective, Executive summary, Implementation timeline","Stage 9 (Career) — the marketing plan is the primary portfolio artifact students take from the program. It demonstrates planning, research, strategy, execution, and measurement — all in one document. Every student contributed to it; management students can claim primary authorship of their section.",Every document you've produced this year is a section of the marketing plan. The industry map is the situation analysis. The market research is the market analysis. The pricing worksheet is the pricing strategy. The campaign brief is the promotional plan. The budget is the financial section. What's missing — and what does having all of it assembled in one place tell you that you couldn't see when it was scattered across separate documents?,Strategy / Synthesis — the marketing plan integrates every prior stage into one coherent document,"The esports league is the centerpiece of the marketing plan's implementation section. Every strategic choice — brand identity, pricing, digital distribution, promotional campaign, event execution — is demonstrated through the league's first season. The plan shows the administrator not just what the program intends to do, but what it has already done and what the results were.","[{""term"": ""STRENGTHS\nInternal positives \u2014 what does the conglomerate do well?"", ""definition"": ""WEAKNESSES\nInternal negatives \u2014 where does the conglomerate fall short?""}, {""term"": ""OPPORTUNITIES\nExternal positives \u2014 what trends or conditions favor growth?"", ""definition"": ""THREATS\nExternal negatives \u2014 what forces could harm the conglomerate?""}, {""term"": ""What students do"", ""definition"": ""Each division contributes its section of the marketing plan: Creative Studio contributes brand strategy evidence, Wholesale & Sourcing contributes supply chain context, Production contributes capacity and cost data, Store Manager contributes sales actuals, Media & PR contributes digital performance data, Events Division contributes event execution data, Esports Division contributes league performance data. The General Manager assembles and edits the full document. The final plan is presented to the class and submitted to administration.""}, {""term"": ""Marketing plan"", ""definition"": ""A comprehensive document defining an organization's marketing objectives, strategies, implementation timeline, and financial projections \u2014 the synthesis of all prior planning work""}, {""term"": ""Situation analysis"", ""definition"": ""The section of the marketing plan that describes the current state of the organization and its environment \u2014 industry overview, competitive landscape, and SWOT""}, {""term"": ""SWOT analysis"", ""definition"": ""A strategic framework examining internal Strengths and Weaknesses alongside external Opportunities and Threats \u2014 the foundation of strategy development""}, {""term"": ""Return on investment (ROI)"", ""definition"": ""A measure of the value generated relative to the cost invested \u2014 financial, audience, and brand ROI are all relevant dimensions for the conglomerate""}, {""term"": ""Marketing objective"", ""definition"": ""A specific, measurable, time-bound goal that the marketing plan is designed to achieve \u2014 '80 spectators at the first match' is a marketing objective""}, {""term"": ""Executive summary"", ""definition"": ""A one-page overview of the entire marketing plan \u2014 written last but placed first. The document an administrator reads if they only have five minutes.""}, {""term"": ""Implementation timeline"", ""definition"": ""The section of the marketing plan that specifies when each strategy is executed \u2014 which campaign runs when, which events occur in which sequence""}]",{}
S8-U2,8,Stage 8,Event Planning & Management,2027-04-12,2027-05-14,"31–37 (parallel, 8177 primary)",8177 only,Events Division + Esports Division — second home match and season evaluation,No formal competency requirement — 8175 rotation students operate in division roles during event execution.,"Students can explain the event planning process, describe consumer motivation factors, explain popularity/competitive factors on attendance, analyze personnel needs, analyze financial resources, develop an event marketing plan and budget, develop post-event recognition, manage a live event, and evaluate overall success.",,"8177-92,8177-93,8177-94,8177-95,8177-96,8177-97,8177-98,8177-99,8177-100,8177-101","What students do, Run-of-show, Personnel plan, Event P&L, Consumer motivation, Post-event evaluation, Competitive calendar, Recognition protocol","Stage 9 (Career) — students who have planned and executed multiple live events have a concrete, documentable WBL experience. The post-event evaluations become a portfolio of real operational work. The administrator receives a cumulative event report showing improvement from match one through the season's final event.","The first home match happened. You have the attendance number, the revenue figure, the social reach data, and a list of three things that went wrong. The second match is six weeks away. You have the same budget, the same team, and the same venue. What changes — and how do you decide what to prioritize when everything feels important?",Strategy / Synthesis — the live event is the entire supply chain running simultaneously,"The esports match is both the product and the organizing context. The League Manager runs the competitive structure — seeding, brackets, rules enforcement, score tracking. The Events Manager runs the operational structure — venue, setup, teardown, safety. Media & PR runs the content structure — streaming, social, match coverage. All three must coordinate without stepping on each other's authority, which requires the role charters from Stage 0 to be well-defined and respected.","[{""term"": ""What students do"", ""definition"": ""Students plan and execute the full sequence of home matches for the league season. Each match is treated as a distinct event with its own planning cycle \u2014 personnel analysis, budget, marketing plan, run-of-show, and post-event evaluation. The General Manager chairs the planning meeting for each match. Division managers report their division's readiness status. The run-of-show template above is completed and distributed before every event.""}, {""term"": ""Run-of-show"", ""definition"": ""A timed sequence document that specifies every activity in an event, who is responsible for each, and the status of completion \u2014 the event manager's primary operational tool""}, {""term"": ""Personnel plan"", ""definition"": ""A document mapping every role required to run an event to a named person with a named backup \u2014 eliminates coverage gaps and authority confusion""}, {""term"": ""Event P&L"", ""definition"": ""A profit and loss statement specific to one event \u2014 revenue streams vs. production costs, showing whether the event generated a surplus or required a subsidy""}, {""term"": ""Consumer motivation"", ""definition"": ""The underlying reasons a person chooses to attend an event \u2014 competition, community, social experience, and team investment are the primary motivators in esports""}, {""term"": ""Post-event evaluation"", ""definition"": ""A formal assessment of whether an event achieved its objectives \u2014 attendance, revenue, operations, promotion, and audience satisfaction all measured against pre-event targets""}, {""term"": ""Competitive calendar"", ""definition"": ""A map of other events and activities competing for the same audience on or near the same date \u2014 used to identify scheduling risks and opportunities""}, {""term"": ""Recognition protocol"", ""definition"": ""A defined, repeatable process for acknowledging participants after an event \u2014 builds culture, loyalty, and the relationships that make future events easier to run""}]",{}
S9-U1,9,Stage 9,Career Development & Job Search,2027-05-17,2027-06-04,38–41,"Parallel — same career readiness goals, different industry depth and management lens",All divisions — looking backward at the full chain to locate yourself inside it,"Students can identify industry occupations, assess personal skills and interests, identify job search resources, create a networking plan, develop a résumé and cover letter, complete a job application, and describe the interview process.","Students can identify career information sources, identify career opportunities at multiple levels, describe education/training requirements, identify employment barriers, identify professional development opportunities, research a prospective employer, and develop a career plan.","8175-106,8175-107,8175-108,8175-109,8175-110,8175-111,8175-112,8175-113","8177-102,8177-103,8177-104,8177-105,8177-106,8177-107,8177-108","What students do, Career plan component, Portfolio, Behavioral interview question, PAR statement, Networking, Career plan, Professional development, Informational interview, Employer research",Stage 0 — students return to their personal professional standards statement from the first week and assess themselves against it honestly. How have they grown? Where do they still have gaps? The distance between Stage 0 and Stage 9 is the evidence of what the program did.,"You have just run a promotional campaign for a live esports event, managed a merchandise operation, contributed to a marketing plan submitted to administration, and operated inside a vertically integrated student business for a full school year. A hiring manager at a sports marketing agency asks: 'Tell me about a time you managed multiple priorities under a real deadline.' You have sixty seconds. What do you say?",Consumer → Producer — students end the chain as informed consumers of the industry and enter it as emerging producers,VHSL esports participation is a documented WBL experience. League management is a documented operations role. Streaming coordination is a documented media production role. Every esports-connected function maps to a real industry job title and belongs on a résumé with specific accomplishments — not just 'participated in esports.',"[{""term"": ""What students do"", ""definition"": ""Students conduct a reverse audit of their year: every role they held, every deliverable they produced, and every competency they demonstrated. This audit becomes the raw material for the r\u00e9sum\u00e9, cover letter, and career plan. Students who held management specializations have deeper documentation of a narrower range. Students who rotated across marketing tracks have broader documentation of multiple functions.""}, {""term"": ""Career plan component"", ""definition"": ""My response""}, {""term"": ""Portfolio"", ""definition"": ""A curated collection of work samples that demonstrate skills, experience, and professional growth \u2014 in this program, every WBL artifact is a potential portfolio piece""}, {""term"": ""Behavioral interview question"", ""definition"": ""An interview question asking for a specific past experience as evidence of a skill \u2014 'Tell me about a time you managed competing priorities' requires a real documented example""}, {""term"": ""PAR statement"", ""definition"": ""A r\u00e9sum\u00e9 accomplishment format: Problem (what was the challenge?), Action (what did you do?), Result (what was the measurable outcome?) \u2014 more compelling than task descriptions""}, {""term"": ""Networking"", ""definition"": ""The deliberate cultivation of professional relationships \u2014 in sports and entertainment, relationships are the primary hiring mechanism. Every sponsor contact, administrator interaction, and VHSL connection is a network node.""}, {""term"": ""Career plan"", ""definition"": ""A documented roadmap connecting current skills and experience to a specific career goal \u2014 including education requirements, skill gaps, networking targets, and a realistic timeline""}, {""term"": ""Professional development"", ""definition"": ""Deliberate actions taken to grow skills, credentials, and professional standing \u2014 DECA events, certifications, informational interviews, and college program visits are all professional development""}, {""term"": ""Informational interview"", ""definition"": ""A conversation with a professional in a target field conducted to learn about the career path, not to apply for a job \u2014 one of the most effective networking tools available to students""}, {""term"": ""Employer research"", ""definition"": ""Systematic investigation of a target employer before an application or interview \u2014 mission, culture, recent news, organizational structure, and what they look for in candidates""}]",{}
